"Year","Sex","agegroup","UF","pop"
2010,"m","30-34","Goias",265934
2010,"m","30-34","Maranhao",249167
2010,"m","30-34","Mato Grosso",135661
2010,"m","30-34","Mato Grosso Do Sul",100483
2010,"m","30-34","Minas Gerais",800971
2010,"m","30-34","Para",314078
2010,"m","30-34","Paraiba",146459
2010,"m","30-34","Parana",415975
2010,"m","30-34","Pernambuco",349403
2010,"m","30-34","Piaui",121614
2010,"m","30-34","Rio De Janeiro",645888
2010,"m","30-34","Rio Grande Do Norte",125795
2010,"m","30-34","Rio Grande Do Sul",404390
2010,"m","30-34","Rondonia",67243
2010,"m","30-34","Roraima",18548
2010,"m","30-34","Santa Catarina",259654
2010,"m","30-34","Sao Paulo",1764601
2010,"m","30-34","Sergipe",82747
2010,"m","30-34","Tocantins",57525
2010,"m","35-39","Acre",24141
2010,"m","35-39","Alagoas",101443
2010,"m","35-39","Amapa",23490
2010,"m","35-39","Amazonas",118256
2010,"m","35-39","Bahia",484645
2010,"m","35-39","Ceara",281578
2010,"m","35-39","Distrito Federal",101347
2010,"m","35-39","Espirito Santo",128186
2010,"m","35-39","Goias",235624
2010,"m","35-39","Maranhao",200438
2010,"m","35-39","Mato Grosso",120621
2010,"m","35-39","Mato Grosso Do Sul",90566
2010,"m","35-39","Minas Gerais",703780
2010,"m","35-39","Para",262918
2010,"m","35-39","Paraiba",126678
2010,"m","35-39","Parana",389535
2010,"m","35-39","Pernambuco",305647
2010,"m","35-39","Piaui",101290
2010,"m","35-39","Rio De Janeiro",574545
2010,"m","35-39","Rio Grande Do Norte",109931
2010,"m","35-39","Rio Grande Do Sul",371100
2010,"m","35-39","Rondonia",58651
2010,"m","35-39","Roraima",15091
2010,"m","35-39","Santa Catarina",237549
2010,"m","35-39","Sao Paulo",1569961
2010,"m","35-39","Sergipe",71551
2010,"m","35-39","Tocantins",48965
2010,"m","40-44","Acre",20194
2010,"m","40-44","Alagoas",92373
2010,"m","40-44","Amapa",19063
2010,"m","40-44","Amazonas",99478
2010,"m","40-44","Bahia",445460
2010,"m","40-44","Ceara",262350
2010,"m","40-44","Distrito Federal",89940
2010,"m","40-44","Espirito Santo",121619
2010,"m","40-44","Goias",214207
2010,"m","40-44","Maranhao",175607
2010,"m","40-44","Mato Grosso",110478
2010,"m","40-44","Mato Grosso Do Sul",83946
2010,"m","40-44","Minas Gerais",680872
2010,"m","40-44","Para",224036
2010,"m","40-44","Paraiba",117636
2010,"m","40-44","Parana",377403
2010,"m","40-44","Pernambuco",274866
2010,"m","40-44","Piaui",92434
2010,"m","40-44","Rio De Janeiro",550264.999999999
2010,"m","40-44","Rio Grande Do Norte",105020
2010,"m","40-44","Rio Grande Do Sul",374187
2010,"m","40-44","Rondonia",55078
2010,"m","40-44","Roraima",13197
2010,"m","40-44","Santa Catarina",233006
